"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1235","Should complete purchase @e2e @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Checkout Flow - E2E","ui/checkout.spec.ts","",""
"","1253","Should remove item from cart @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Cart Page","ui/cart.spec.ts","",""
"","6244","Should login successfully as performance_glitch_user @regression @happy-path","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","743","Should show error for locked out user @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","766","Should show error for wrong password @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","760","Should show error for locked out user @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login Page","ui/login.spec.ts","",""
"","151","PATCH - should partially update a user","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
"","611","POST - should login successfully","api-tests","2026-05-03","passed","2026-05-03","Auth API","api/auth-api.spec.ts","",""
"","852","Should sort by price low to high @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Inventory Page","ui/inventory.spec.ts","",""
"","1209","Should show added item in cart @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Cart Page","ui/cart.spec.ts","",""
"","777","Should show error for wrong username @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","764","Should show error for empty username @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","200","GET - should return 404 for non-existent user","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
"","866","Should add and remove product from cart @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Inventory Page","ui/inventory.spec.ts","",""
"","831","Should show error for invalid credentials @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login Page","ui/login.spec.ts","",""
"","151","POST - should create a user","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
"","861","Should display total 6 inventory items @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Inventory Page","ui/inventory.spec.ts","",""
"","111","DELETE - should delete a user","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
"","893","Should login successfully as visual_user @regression @happy-path","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","271","GET - should fetch list of users","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
"","1095","Should go back to shopping @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Cart Page","ui/cart.spec.ts","",""
"","854","Should login with valid credentials @smoke","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login Page","ui/login.spec.ts","",""
"","833","Should sortt by name Z - A @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Inventory Page","ui/inventory.spec.ts","",""
"","756","Should show error for empty password @negative","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","623","POST - should fail login with missing password","api-tests","2026-05-03","passed","2026-05-03","Auth API","api/auth-api.spec.ts","",""
"","122","POST - should register successfully","api-tests","2026-05-03","passed","2026-05-03","Auth API","api/auth-api.spec.ts","",""
"","877","Should add item to cart @regression","ui-tests-chrome","2026-05-03","passed","2026-05-03","Inventory Page","ui/inventory.spec.ts","",""
"","867","Should login successfully as standard_user @regression @happy-path","ui-tests-chrome","2026-05-03","passed","2026-05-03","Login - Data Driven Tests","ui/data-driven.spec.ts","",""
"","194","GET - should fetch single user","api-tests","2026-05-03","passed","2026-05-03","User API","api/user-api.spec.ts","",""
